subj	rel	obj
average temperature	structural-quantifier	average
monkey birth	structural-agent	monkey
alligator	kind of	aquatic animal
plastic spoon	structural-noun	spoon
rice waste	structural-noun-compound	waste
plant born	structural-verb	born
require	patient	resource
sugar	kind of	simple carbohydrate
south carolina	structural-noun-compound	south
low	antonym	high
hard	antonym	soft
melt	result	liquid
animal adapt	structural-verb	adapt
access resource	has positive impact on	health
light	kind of	nonliving thing
contract	result	change volume
lower	kind of	motion
nature preserve	structural-noun-compound	preserve
pull	kind of	attract
protect	patient	hand
water absorb solar energy	structural-verb	absorb
young	synonym	offspring
extensive property	structural-noun-compound	property
exercise	has positive impact on	strength
decrease temperature	structural-patient	temperature
variable volume	kind of	property
glacier move	result	great lakes
building move	has negative impact on	building collapse
come	patient	together
east lothian	structural-noun-compound	east
organism grow	structural-verb	grow
water freezing point	structural-noun-compound	freezing
dependent variable	structural-noun-compound	dependent
detect	patient	odor
self sustain	structural-agent	self
seed dispersal	structural-noun-compound	dispersal
kill	result	change
sandy soil	structural-noun	soil
biofuel	kind of	alternative energy resource
change	agent	season
plant light	has positive impact on	plant
potential energy	synonym	stored energy
conserve natural resource	kind of	conservation
convert	agent	battery
disappear	kind of	decrease
push	agent	flowing liquid
find mate	instrument	coloration
stay cool	structural-adjective	cool
harm	patient	living thing
magnifying glass	structural-noun-compound	glass
move	patient	product
guanajuato	structural-noun-compound	guanajuato
metamorphic rock	structural-adjective	metamorphic
vinegar	kind of	liquid
dissolve	result	solution
earth's surface change	structural-verb	change
wind blow	structural-verb	blow
leaf	kind of	plant
electrical current	structural-noun-compound	current
nuclear fusion	structural-noun-compound	nuclear
little pollutant	structural-noun	pollutant
use	patient	less
mountain chorus frog	structural-noun-compound	mountain
asteroid impact	patient	moon
dissolve	agent	carbon dioxide
toaster	kind of	electrical device
come together	synonym	form group
long tail	structural-adjective	long
flat area	structural-adjective	flat
louis pasteur	structural-noun-compound	pasteur
southern summer	structural-noun	summer
aguascalientes	instance of	state
control water	structural-patient	water
eyeglass lens	structural-noun-compound	eyeglass
environment temperature	structural-noun-compound	environment
eagle eat rabbit	structural-verb	eat
smell	synonym	scent
heat source	structural-noun-compound	heat
moving water	structural-adjective	moving
powdered mineral	structural-adjective	powdered
rutland	instance of	county
make observation	structural-patient	observation
edinburghshire	instance of	county
sodium chloride	synonym	salt
squirrel eat fruit	has positive impact on	squirrel
animal excrete seed	structural-agent	animal
natural event	structural-noun	event
observe	synonym	see
lava cool	result	new land
tilt from	patient	sun
appearance	synonym	look
alaska	structural-noun-compound	alaska
transport water	structural-patient	water
metamorphose	kind of	change
reflect	antonym	absorb
heat	has positive impact on	hurricane
producer	kind of	living thing
magnetic material	structural-adjective	magnetic
close	patient	switch
raccoon eat waste	has positive impact on	raccoon
forest	kind of	environment
light bulb	kind of	electrical device
eagle	kind of	animal
montserrat (uk)	structural-noun-compound	montserrat
complete	patient	circuit
close light	structural-adjective	close
create peate	structural-verb	create
separate liquid	instrument	filter
unique leaf	structural-adjective	unique
l a	structural-noun-compound	l
find shelter	structural-patient	shelter
beach	kind of	location
digest	patient	food
survive	instrument	store fat
increase number	structural-verb	increase
generate heat	agent	stove
change environment	result	destroy environment
gravitational energy	structural-adjective	gravitational
translucent	instance of	opacity
eagle eat rabbit	has positive impact on	eagle
s o	structural-adjective	s
physical change	structural-noun	change
harm entity	structural-patient	entity
bee eat pollen	structural-verb	eat
monitor	result	information
find shelter	structural-verb	find
wildfire	synonym	forest fire
contain water	instrument	water body
hand lens	structural-noun-compound	hand
degrees celsiu	structural-noun	degrees
burn coal	result	heat
hunt	agent	human
weather	synonym	air condition
investigate life cycle	instrument	living thing
block light	instrument	object
smaller height	structural-adjective	smaller
light travel	structural-agent	light
expand	agent	flexible container
combustion	kind of	exothermic reaction
switch on	patient	light bulb
light split	structural-agent	light
catch prey	instrument	claw
rabbit eat plant	structural-agent	rabbit
endangered	synonym	low population
create	kind of	cause
meadow vole	structural-noun-compound	vole
predator eat prey	structural-verb	eat
control cell	instrument	nucleus
bike move	structural-agent	bike
consumer	antonym	producer
blacktop	synonym	asphalt
meadow vole eat plant	structural-verb	eat
celcius	kind of	temperature
wrap conductor	result	insulate
oxygen	kind of	fuel
melting	kind of	phase change
break rock	result	debris
central african republic	structural-noun-compound	african
high pressure system	structural-noun-compound	pressure
cumbria (cumberland)	structural-noun-compound	cumberland
thermal conductor	structural-noun-compound	thermal
western coral snake	kind of	snake
doorbell	kind of	electric device
vertical distance	structural-adjective	vertical
pull plow	structural-patient	plow
human body	structural-noun-compound	human
break down sugar	structural-verb	break down
melt	agent	ice
railroad track	structural-noun-compound	railroad
centimeter	kind of	length
move object	structural-patient	object
conserve resource	structural-verb	conserve
determine	patient	type
moving object	structural-noun	object
turn off tap	kind of	conservation
heal bone	instrument	vitamin d
moist	synonym	high moisture
move waste	instrument	blood
stored energy	structural-noun-compound	stored
in common	structural-noun-compound	in
aquatic plant survive	structural-agent	aquatic plant
bright	synonym	many light
measure air pressure	structural-verb	measure
remove waste	structural-patient	waste
united states of america	structural-noun-compound	america
peat become coal	structural-agent	peat
meadow vole eat plant	structural-patient	plant
heal	agent	animal
river deposit	structural-noun-compound	river
rattle	kind of	motion
ferrous metals	structural-adjective	ferrous
electron microscope create	structural-agent	electron microscope
turn	synonym	change
365 day	structural-noun	day
shirt	kind of	clothes
pollutions standard	structural-noun-compound	standard
oxygenated air	structural-adjective	oxygenated
measure time	instrument	second
sonora	instance of	state
rhode island	instance of	state
animal remains	structural-noun-compound	animal
heat prehistoric animal remains	structural-verb	heat
rough	antonym	smooth
kill plant	structural-patient	plant
state of matter	structural-noun-compound	state
leaf	kind of	object
low height	structural-noun	height
light pollution	has negative impact on	see star
city	kind of	town
recycle	patient	resources
animal body	structural-noun-compound	body
environmental harm	structural-adjective	environmental
have oxygen	structural-patient	oxygen
pedal	patient	bike
moon phase change	structural-verb	change
denbighshire	structural-noun-compound	denbighshire
piano key	structural-noun-compound	piano
conduct electricity	structural-patient	electricity
peck shell	kind of	instinct
washington, d.c.	instance of	federal district
farm plant	structural-verb	farm
alligator eat turtle	structural-patient	turtle
move heavy object	instrument	lever
west lothian	instance of	county
find resource	has positive impact on	health
hatch	kind of	birth
car engine run	result	heat energy
colorado river	kind of	river
carrion-like smell	structural-adjective	carrion-like
deposit	agent	rock
flashlight	kind of	electrical device
ice cube	kind of	object
extreme	synonym	high value
stormy weather	structural-adjective	stormy
pedal	kind of	lever
ross-shire	instance of	county
transpire	goal	atmosphere
pitcairn islands (united kingdom)	structural-noun-compound	united
solid melt	structural-verb	melt
reduce amount	structural-verb	reduce
igneous	kind of	rock
rhode island	structural-noun-compound	island
animal matter	structural-noun-compound	animal
drought	kind of	natural disaster
white fur	structural-adjective	white
greenhouse effect	structural-noun-compound	effect
chameleon	kind of	lizard
natural resources	structural-noun	resources
move	patient	people
peach tree	structural-noun-compound	tree
last long	structural-verb	last
harm	patient	building
population size	structural-noun-compound	population
pollution	has negative impact on	environment
produce food	structural-patient	food
improve	agent	galileo galilei
falkland islands (uk)	structural-noun-compound	falkland
warm object	structural-noun	object
move waste	source	body
destroy habitat	structural-verb	destroy
destroy	patient	living thing
prevent illness	instrument	vaccine
nova scotia	instance of	province
compass	kind of	tool
fence	kind of	object
move	patient	rocket
wind blow	result	energy
too much	structural-noun-compound	much
computer	kind of	tool
raw material	structural-noun	material
farm	instrument	cropland
washington state	instance of	state
light	patient	candle
ice crystal	structural-noun-compound	ice
instinctive behavior	kind of	behavioral adaptation
pure substance	structural-adjective	pure
tree lifespan	instance of	lifespan
animal avoid	structural-agent	animal
exhale	source	lung
artificial turf	synonym	fake grass
simple circuit	structural-noun	circuit
united states virgin islands (us)	structural-noun-compound	virgin
quick shower	structural-noun	shower
create object	structural-patient	object
animal eat seed	structural-agent	animal
replace	patient	battery
falkland islands (uk)	structural-noun-compound	islands
transparent	instance of	opacity
sweet	kind of	flavor
shorter	synonym	smaller height
cell membrane	kind of	membrane
light years	structural-noun-compound	light
l i	structural-noun	i
provide energy	structural-patient	energy
kidney	has positive impact on	blood
reduce waste	structural-verb	reduce
respiratory system	structural-noun-compound	system
arkansas	instance of	state
boil	kind of	phase change
stay still	structural-patient	still
assemble kit	structural-verb	assemble
vegetation decay	structural-verb	decay
carnivore eat animal	structural-verb	eat
consume	agent	decomposer
montgomeryshire	structural-noun-compound	montgomeryshire
hawk eat snake	structural-patient	snake
higher size	structural-noun	size
high sunlight	structural-quantifier	high
deer	kind of	animal
try	patient	find
cook islands (new zealand)	structural-noun-compound	zealand
use	patient	vehicle
warm environment	structural-noun	environment
liquid matter	instance of	matter
animal survive	instrument	air
high speed	structural-noun-compound	high
reproduction	kind of	process
fifth planet	structural-noun	planet
share	patient	information
drive	synonym	operate
breathe	patient	oxygenated water
burn natural gas	result	electricity
life cycle	structural-noun-compound	cycle
electric current	structural-noun-compound	current
harm entity	structural-verb	harm
incomplete metamorphosis	structural-noun	metamorphosis
saint barthélemy (france)	structural-noun-compound	saint
1 month	instance of	duration
become	result	warm
breathe	instrument	lung
quick process	structural-adjective	quick
curling stem	structural-noun-compound	stem
frog hibernate	structural-agent	frog
take	antonym	leave
population increase	beneficiary	organism
pull	agent	planet
migrate	kind of	instinctive behaviour
climate	kind of	weather
hit	patient	drum
visibility decrease	structural-agent	visibility
32 kg	structural-noun	kg
transport dirt	instrument	wind
drinking straw	kind of	object
pull weed	structural-verb	pull
less wet	structural-noun	wet
pluto	kind of	planet
democratic republic of the congo	structural-noun-compound	republic
birth	result	offspring
change animal habitat	structural-patient	animal habitat
1 week	structural-quantifier	1
cloudy day	structural-adjective	cloudy
moon type	structural-noun-compound	moon
harm species	structural-patient	species
produce	kind of	cause
many pollution	structural-noun	pollution
centimeters	kind of	length
metamorphic rock	structural-noun	rock
vibrate	agent	string
condense	instrument	remove heat
salt	kind of	substance
taste	agent	animal
peck shell	structural-patient	shell
drop object	structural-patient	object
show	synonym	present
complex carbohydrate	structural-adjective	complex
smooth surface	structural-adjective	smooth
hail	kind of	ice
cold place	structural-adjective	cold
daylight	synonym	sunlight
adult amphibian	structural-adjective	adult
martinique (france)	structural-noun-compound	france
living thing grow	instrument	water
time length	structural-noun-compound	length
rock crack	structural-noun-compound	crack
object cool	structural-agent	object
monarch butterfly	instance of	butterfly
change phase	structural-patient	phase
compete	agent	organism
protect	instrument	sharp object
slow process	structural-noun	process
ecosystem change	structural-agent	ecosystem
remove nutrient	structural-verb	remove
shetland	instance of	county
compact	patient	sediment
worm	kind of	living thing
carbon dioxide	instance of	raw material
dry environment	structural-adjective	dry
bear eat insect	has positive impact on	bear
hollow object	structural-adjective	hollow
read measurement	structural-patient	measurement
animal eat seed	structural-verb	eat
tree grow	structural-verb	grow
least	instance of	amount
eat	patient	food
find north	instrument	compass
reflect	agent	light
nanometers	kind of	length
build nest	structural-patient	nest
support plant	structural-patient	plant
drink	agent	animals
distant	synonym	great distance
see prey	structural-verb	see
distant location	structural-adjective	distant
earth's moon	structural-noun-compound	earth's
earth pole	structural-noun-compound	earth
erode	result	landslide
utah	instance of	state
sand	kind of	material
coral sea islands (australia)	structural-noun-compound	islands
uv	synonym	ultraviolet
water vapour cool	result	condense
food spoil	structural-agent	food
closed circuit	structural-adjective	closed
environment temperature	structural-noun-compound	temperature
change	patient	ecosystem
state of matter	structural-noun-compound	matter
mammal birth	structural-verb	birth
safety gear	structural-noun-compound	gear
compare density	instrument	container
close switch	structural-verb	close
eat acorn	beneficiary	chipmunk
animal bury seed	structural-patient	seed
light	kind of	energy
yards	synonym	yd
eat	agent	remora fish
change	agent	moon phase
pollinate	agent	insect
saint vincent and the grenadines	structural-noun-compound	saint
shed	patient	fur
function	synonym	purpose
die	agent	organism
kick	kind of	push
essex	structural-noun-compound	essex
drink beverage	structural-verb	drink
animal remains	structural-noun-compound	remains
montana	instance of	state
pull bone	instrument	muscle
high sound intensity	structural-adjective	high
body of water	kind of	environment
idaho	structural-noun-compound	idaho
carry	synonym	transport
respiratory system	structural-noun-compound	respiratory
less size	structural-noun	size
less precipitation	result	drought
good bacteria	structural-noun	bacteria
missouri	instance of	state
die	instrument	cold
cause	synonym	result in
ultraviolet ray	structural-noun-compound	ultraviolet
move habitat	structural-verb	move
assemble something	structural-patient	something
quantity	synonym	amount
orange	kind of	color
querétaro	structural-noun-compound	querétaro
hereditary information	structural-noun	information
nuclear reaction	structural-noun	reaction
wigtownshire	structural-noun-compound	wigtownshire
body of water	structural-noun-compound	of
tonnes	kind of	mass
measure temperature	structural-verb	measure
hold animal	structural-verb	hold
improve	synonym	have positive impact
electrical insulator	structural-noun	insulator
poor health	antonym	good health
melt	agent	glacier
build	patient	housing development
erosion	kind of	process
thin	instance of	thickness
friction	has negative impact on	motion
orbit	agent	planet
combine substance	structural-patient	substance
jiangxi	instance of	province
ross-shire	structural-noun-compound	shire
warm weather	structural-adjective	warm
somerset	instance of	county
get cold	structural-adjective	cold
100c	kind of	celcius
close switch	result	electricity flow
stop	synonym	0 speed
navassa island (us)	structural-noun-compound	island
water	kind of	object
low sunlight	structural-noun	sunlight
know	patient	distance
group material	structural-verb	group
inner mongolia autonomous region	structural-noun-compound	inner
many required item	structural-quantifier	many
cell wall	structural-noun-compound	cell
planet	kind of	celestial body
compress	patient	decomposing algae
ferrous metal	structural-noun	metal
crack entity	has negative impact on	entity
loose soil	structural-adjective	loose
pupa stage	structural-noun-compound	pupa
perform job	structural-patient	job
break down rock	synonym	mechanical weathering
vegetation become peat	structural-agent	vegetation
hen	kind of	chicken
abundant	synonym	high number
store	instrument	cactus stem
metamorphose	instrument	extreme heat
producer produce	structural-agent	producer
leave	agent	animal
earth year	synonym	solar year
bury	patient	plant
incandescent light bulb	structural-noun-compound	bulb
generate	patient	electricity
cut down tree	structural-patient	tree
stick	kind of	object
absorb	synonym	stop
plant crop	structural-verb	plant
tear	kind of	change
small piece	structural-noun	piece
nova scotia	structural-noun-compound	nova
big flower	structural-adjective	big
sugar	kind of	substance
save money	has positive impact on	happiness
young human	structural-noun	human
eagle eat snake	has positive impact on	eagle
increase mpg	structural-verb	increase
heat building	structural-verb	heat
caithness	instance of	county
measuring cup	structural-noun-compound	measuring
bright petal	structural-noun	petal
emit	synonym	produce
get	result	cold
anchor plant	instrument	root
eat food	structural-patient	food
support animal	agent	habitat
electrical circuit	has positive impact on	electrical current
measure	patient	earthquake magnitude
length	kind of	inherited characteristic
pasteurize	result	less bacterium
preference	kind of	learned characteristic
hurricane	kind of	storm
wind	kind of	weather
car move	structural-verb	move
guitar	kind of	musical instrument
condense	instrument	reduce heat energy
sussex	structural-noun-compound	sussex
use tool	kind of	learned characteristic
eat	agent	omnivore
tap	result	vibrate
push	patient	tectonic plate
magnify	result	large
attract	kind of	function
arizona mountain king snake	structural-noun-compound	snake
tilt from	agent	pole
property	kind of	information
soil erode	instrument	water exposure
sediment compact	structural-verb	compact
heal	instrument	rest
monitor location	structural-patient	location
brake	kind of	object
transport food	source	root
remove waste	structural-verb	remove
slip	patient	ice
hollow object	structural-noun	object
describe	patient	size
vitamin d	structural-noun-compound	vitamin
roam	synonym	move around
sense	kind of	characteristic
sleeping bag	structural-noun-compound	sleeping
robin	kind of	bird
spray	patient	pesticide
recycle plant	structural-verb	recycle
measure time	patient	time interval
solar eclipse	structural-noun-compound	eclipse
eat animal	instrument	kill animal
charles darwin study	patient	animal
wood-free paper	structural-noun	paper
nervous system	kind of	body system
british columbia	instance of	province
metal fork	structural-noun	fork
make object	structural-verb	make
predator population	structural-noun-compound	predator
dispose waste	structural-verb	dispose
break down	result	piece
learn information	structural-patient	information
describe size	instrument	size
fire	has negative impact on	living ent
make happen	structural-verb	make
kangaroo drink milk	structural-patient	milk
tidal range	kind of	vertical distance
magnetism affect	patient	distant object
alligator eat turtle	has positive impact on	alligator
invent	patient	telephone
ningxia autonomous region	structural-noun-compound	autonomous
high value	structural-quantifier	high
altitude	kind of	measure
protect young bird	structural-verb	protect
hang tongue	structural-verb	hang
human eat seed	structural-verb	eat
louis pasteur	structural-noun-compound	loui
add heat	structural-verb	add
water company	structural-noun-compound	company
use renewable resource	has negative impact on	nonrenewable resource
make sound	structural-patient	sound
bad reaction	structural-adjective	bad
bird eat insect	has negative impact on	insect
plant light	structural-noun-compound	plant
time length	structural-noun-compound	time
pull weed	result	destroy
look	synonym	see
reflect sunlight	agent	moon
boy	kind of	young human
automobile	kind of	vehicle
play	instrument	warm temperature
best	synonym	most positive
living organism	structural-noun-compound	living
higher value	structural-adjective	higher
native species	structural-noun	species
belong group	structural-verb	belong
enable	instrument	vehicle
snake	kind of	animal
assemble	synonym	put together
stomach acid break down food	structural-verb	break down
very large	structural-adjective	large
organism remains	structural-noun-compound	remains
appalachian mountains	kind of	mountain
affect organism niche	synonym	affect organism
cook	result	food
measure distance	structural-patient	distance
measure material	structural-verb	measure
water vapour	kind of	moisture
take picture	kind of	observation
cast image	structural-patient	image
inclined plane	structural-noun	plane
rainy	synonym	rain
paper	kind of	material
person	synonym	human
rabbit	kind of	mammal
less land	structural-noun	land
predator eat animal	structural-patient	animal
high wind speed	structural-noun	wind speed
compass point	structural-verb	point
rotting meat	structural-noun	meat
alligator eat fish	has negative impact on	fish
skin	kind of	organ
transport nutrient	instrument	artery
bee eat pollen	structural-agent	bee
ice	kind of	solid
puebla	structural-noun-compound	puebla
milliliters	synonym	ml
lead	kind of	element
tennis ball	structural-noun-compound	tennis
create cocoon	structural-patient	cocoon
xinjiang	structural-noun-compound	xinjiang
power plant	structural-noun-compound	power
greater amount	structural-noun	amount
still	antonym	move
high quality soil	structural-adjective	high
decrease population	structural-verb	decrease
kill	result	die
property	synonym	feature
railroad track	structural-noun-compound	track
decompose	agent	bacteria
warmth	instrument	fat
produce	agent	producer
stay same	antonym	change
degrees celsius	kind of	temperature
anglesey	structural-noun-compound	anglesey
user	kind of	person
point	agent	floating arrow
toward	kind of	direction
alligator eat fish	structural-verb	eat
motion	kind of	event
specialize	agent	cell
jilin	structural-noun-compound	jilin
fast	kind of	speed
near north pole	structural-adjective	near
breathe	agent	animal
decade	kind of	duration
slow process	structural-adjective	slow
decline	synonym	decrease
sense warning	structural-verb	sense
east timor	structural-noun-compound	east
plug in	agent	electrical conductor
galileo galilei	structural-noun-compound	galilei
bone cell	structural-noun-compound	cell
control robot	agent	computer
south orkney islands (antarctic treaty signatories)	structural-noun-compound	antarctic
push bone	structural-patient	bone
celestial object	structural-adjective	celestial
native plants	has positive impact on	ecosystem
observe celestial object	structural-patient	celestial object
bird eat insect	structural-patient	insect
skunk produce bad odor	structural-verb	produce
warmth	has positive impact on	health
plant grow	instrument	specific climate
kg	synonym	kilogram
reproduce	instrument	genetic information
maine	instance of	state
increase	patient	strength
lose water	has negative impact on	body of water
taste	patient	flavor
sunlight refract	structural-agent	sunlight
same inherited characteristic	structural-adjective	same
show	patient	change
complete rotation	structural-patient	rotation
move	agent	bike
attract	instrument	magnetism
important	has positive impact on	object
winter	kind of	season
pollinator	agent	pollinate
heat	result	hot
observe distant object	instrument	telescope
scavenge	synonym	find food
predict weather	instrument	study weather
solid melt	instrument	melting point
compare	patient	density
chimpanzee dig	structural-agent	chimpanzee
shiver	kind of	shake
discover	patient	color
plastic spoon	structural-adjective	plastic
measure	patient	earthquake
same	synonym	identical
reflect	agent	light colour
iron melting point	structural-noun-compound	point
be extinct	structural-patient	extinct
georgia (country)	structural-noun-compound	country
anchor	synonym	provide support
liquid carry	structural-agent	liquid
energy level decrease	structural-verb	decrease
physical state	structural-noun-compound	state
have oxygen	structural-verb	have
identify boiling point	instrument	heat liquid
grow	result	increase strength
scientific guess	structural-noun	guess
earth rotate	structural-verb	rotate
requirement	has positive impact on	living entity
decrease occurrence	structural-verb	decrease
measure time	kind of	tool
electrical component	structural-adjective	electrical
grams	kind of	mass
physical fitness	structural-noun-compound	fitness
born	agent	plant
earth's surface change	structural-agent	earth's surface
vehicle operate	structural-agent	vehicle
small animal	structural-noun	animal
inclined plane	structural-adjective	inclined
rotting meat smell	structural-noun-compound	meat
years	kind of	time
different size	structural-noun	size
railroad tracks	structural-noun	tracks
detect carbon monoxide	structural-verb	detect
breathe oxygen	structural-verb	breathe
lizard weight	synonym	0.5 kg
snow melt	result	water
juice	kind of	solution
fox eat	structural-verb	eat
warm body temperature	structural-noun	body temperature
marsh willow herb	kind of	plant
transport mineral	kind of	function
stirlingshire	structural-noun-compound	stirlingshire
land feature	structural-noun-compound	land
lancashire	instance of	county
absorb	patient	air
large canopy	structural-adjective	large
renew soil	instrument	crop rotation
candle	kind of	object
cat	kind of	mammal
ice	kind of	water
monkey birth	structural-verb	birth
affect	synonym	change
support cell	structural-verb	support
slow environmental change	structural-adjective	environmental
sea mammal	structural-noun-compound	mammal
june	kind of	month
scavenger eat dead organism	structural-verb	eat
same	antonym	different
spoiled food	structural-noun	food
transport dirt	structural-verb	transport
american samoa (united states)	structural-noun-compound	american
northern winter solstice	synonym	december 21
rock layer fold	result	old rock rise
south orkney islands (antarctic treaty signatories)	structural-noun-compound	islands
tree die	structural-verb	die
devon	structural-noun-compound	devon
electrocution	has negative impact on	organism
shape	kind of	appearance
decrease amount	structural-verb	decrease
rock cycle	structural-noun-compound	rock
see specimen	structural-patient	specimen
tectonic plates	structural-noun	plates
boiling point	structural-noun-compound	point
jump rope	structural-patient	rope
carrion	synonym	rotting meat
peat become coal	instrument	extreme heat
touch	result	sound
move water	instrument	blood
power electrical device	instrument	closed circuit
breathe oxygen	result	survive
heavy	instance of	mass
sort kind	structural-patient	kind
black-eyed susan wildflower	structural-noun-compound	wildflower
soil sample	structural-noun-compound	soil
discard waste	agent	human
falling water produce electricity	structural-patient	electricity
absorb	patient	light
weather event	structural-noun-compound	weather
carbon cycle	kind of	process
predator eat animal	has positive impact on	predator
continuous path	structural-noun	path
pump blood	structural-patient	blood
battery convert	result	electrical energy
egg hatch	instrument	warmth
magnify	patient	small object
season	synonym	temperature change
observe	instrument	sense
owl	kind of	predator
food web	structural-noun-compound	food
crack	patient	sidewalk
light candle	structural-patient	candle
remote-control toy	kind of	toy
fast	synonym	quick
transmittance	antonym	refraction
see	patient	small thing
compete	agent	human
sprout	kind of	born
make food	result	self sustain
heard island and mcdonald islands (australia)	structural-noun-compound	heard
find	patient	shelter
bedrock	kind of	rock
ecological succession	structural-adjective	ecological
heat	instrument	heat
railroad track	kind of	object
american samoa (united states)	structural-noun-compound	states
animal instinct	structural-noun-compound	animal
new zealand	structural-noun-compound	new
sign	synonym	evidence
raccoon eat garbage	has negative impact on	garbage
element	kind of	material
small particle	structural-noun	particle
new information	structural-noun	information
m o	structural-noun	o
curling	kind of	behavior
shed	result	lose skin
bury plant	structural-verb	bury
irregular object	structural-noun	object
yunnan	structural-noun-compound	yunnan
thrust	result	move
scrape	synonym	scratch
use vehicle	structural-verb	use
weather	result	soil
san luis potosí	instance of	state
pluck string	result	string vibrate
absorb	agent	root
find	patient	resource
wheel and axle	kind of	simple machine
clear	patient	forest
curly hair	structural-noun	hair
reduce population	structural-verb	reduce
survive	agent	egg
many sleep	structural-noun	sleep
ounces	kind of	weight
transport	synonym	move
perthshire	structural-noun-compound	perthshire
put group	structural-verb	put
top soil layer	structural-noun	soil layer
body of water	kind of	land feature
lighter	synonym	less weight
fly	kind of	insect
warn	patient	danger
inexhaustible resource	structural-noun	resource
soda	kind of	beverage
juice	kind of	matter
hawk eat lizard	structural-agent	hawk
hummingbird eat	structural-agent	hummingbird
group	synonym	place group
close switch	structural-patient	switch
pebble	kind of	small rock
create	result	product
vertical axis	structural-noun-compound	vertical
warn	instrument	prediction
location	synonym	position
macau special administrative region	structural-noun-compound	special
big size	structural-noun	size
strengthen bone	instrument	vitamin d
container	kind of	object
dead leaf	structural-adjective	dead
metamorphose	agent	immature animal
cover hand	instrument	glove
bird	instance of	predator
gold	kind of	element
special administrative region	structural-noun-compound	administrative
obtain food	structural-patient	food
remove dead organism	result	remove nutrient
many light	structural-quantifier	many
sediment fall	structural-agent	sediment
toward	antonym	away
southern winter solstice	structural-adjective	southern
sustain	agent	self
create	patient	object
tie back	patient	hair
crumble	synonym	break down
land formation	structural-noun-compound	land
remove waste	instrument	excretory system
prince edward island	structural-noun-compound	island
grass	kind of	surface
protect	result	resist damage
musical instrument	structural-noun	instrument
young cat	structural-adjective	young
soil layer	structural-noun-compound	layer
animal eat	patient	nutrient
animal habitat	structural-noun-compound	habitat
centimeters	synonym	cm
pollute	agent	human
control water	structural-verb	control
protect	instrument	cactus spine
compact sediment	structural-verb	compact
intense	synonym	high intensity
multicellular organism	structural-adjective	multicellular
plant matter	kind of	organic matter
same object	structural-noun	object
swamp	kind of	environment
look	kind of	see
british virgin islands (uk)	structural-noun-compound	uk
avoid fossil fuel	structural-verb	avoid
measure earthquake magnitude	instrument	seismometer
hatch	agent	egg
animal eat	patient	plant
south georgia and the south sandwich islands (uk)	structural-noun-compound	georgia
burn biofuel	structural-patient	biofuel
find food	instrument	smell
cell respire	result	water
transport	instrument	vehicle
cool	patient	human
fast breathing	structural-noun	breathing
multiply	instrument	calculator
make food	agent	organism
heal	instrument	energy
study soil sample	instrument	study microorganism
water boiling point	synonym	212f
move water	structural-patient	water
xinjiang autonomous region	instance of	autonomous region
clackmannanshire	structural-noun-compound	clackmannanshire
aquatic animal	kind of	animal
below	antonym	above
evaporation	kind of	process
store food	agent	animal
forfarshire	instance of	county
pop popcorn	structural-patient	popcorn
decrease freezing point	structural-verb	decrease
connecticut	instance of	state
electric toothbrush	kind of	electric device
deflect air	structural-patient	air
deep water	structural-noun	water
learn	instrument	observe
lose water	agent	animal
jilin	instance of	province
prey	kind of	animal
cold place	structural-noun	place
resource decrease	structural-patient	decrease
thermal gloves	structural-noun	gloves
know direction	structural-patient	direction
raccoon eat waste	structural-verb	eat
fuel supply	kind of	resource
die	agent	living thing
cayman islands (uk)	structural-noun-compound	islands
heal bone	structural-patient	bone
big amount	has positive impact on	extensive property
car	kind of	object
cat	kind of	carnivore
zhejiang	structural-noun-compound	zhejiang
vegetation	synonym	plant
cast image	structural-verb	cast
pump	patient	blood
s; sec	structural-noun-compound	sec
waxing gibbous	structural-noun-compound	waxing
supply	agent	source
humid	instance of	humidity
district of columbia	synonym	washington, d.c.
availability	has positive impact on	consumer
eyeglass lens	kind of	object
prevent flow	structural-verb	prevent
stopped	synonym	0 speed
support animal	structural-verb	support
make	patient	valid conclusion
consume food	structural-verb	consume
transport mineral	structural-verb	transport
excrete	patient	seed
electrical signal	structural-noun	signal
create peate	structural-patient	peate
earth rotate	result	sun move
dog weight	instance of	weight
product	kind of	object
attract fly	structural-verb	attract
snap	result	particle vibrate
pollinate	agent	pollinator
metal fork	structural-noun-compound	fork
grow large	result	size increase
stop	synonym	zero speed
step	synonym	stage
long lasting object	has negative impact on	replacement
fox	kind of	animal
first quarter moon	structural-noun-compound	quarter
tree number	structural-noun-compound	tree
staffordshire	structural-noun-compound	staffordshire
access resource	structural-verb	access
adaptation	has positive impact on	health
egg develop	instrument	warmth
squirrel eat edible plant	structural-patient	edible plant
oxygen rich	structural-noun-compound	rich
earth tilt	structural-noun-compound	tilt
enter	agent	light
lever	kind of	simple machine
edinburghshire	structural-noun-compound	edinburghshire
electric toothbrush	structural-noun	toothbrush
telephone	agent	human
producer produce	structural-verb	produce
leave	patient	undisturbed
star	kind of	celestial object
light pollution	structural-noun-compound	light
breathe	patient	oxygen
need	synonym	require
harm	patient	environment
remove	patient	forest
emit	agent	source
grow	patient	large
snow	kind of	ice
temperature increase	structural-agent	temperature
oklahoma	structural-noun-compound	oklahoma
produce	patient	electricity
tree	kind of	matter
landform	synonym	land feature
meadow vole	structural-noun-compound	meadow
boil	result	less liquid
remove	patient	harmful substance
hunan	structural-noun-compound	hunan
