subj	rel	obj
lose	patient	skin
beach	kind of	habitat
cat	kind of	animal
leicestershire	instance of	county
hide	derivational morphology	hiding
polar bear	at location	cold
animal leave environment	structural-agent	animal
have	patient	oxygen
high sound intensity	structural-noun	sound intensity
waning gibbous	kind of	moon phase
energy source	kind of	resource
cell respire	instrument	oxygen
loosen soil	structural-verb	loosen
arizona	instance of	state
season	has subcomponent	daylight amount
eagle eat snake	structural-verb	eat
natural resource	at location	nature
ride vehicle	agent	human
good habitat	structural-noun	habitat
transfer energy	structural-verb	transfer
costa rica	structural-noun-compound	rica
protect soil	instrument	crop rotation
ice wedging	structural-noun-compound	ice
oxygen	at location	lung
drip	agent	liquid matter
resource	has property	inexhaustible
northern winter	has subcomponent	august
examine vehicle	structural-patient	vehicle
snow fall	at location	arctic environment
very hot	structural-quantifier	very
moving air	structural-noun	air
eat	agent	predator
softball	kind of	ball
complex carbohydrate	structural-noun	carbohydrate
material	has property	strength
little energy	structural-noun	energy
water freezing point	structural-noun-compound	water
remove	patient	animal habitat
essex	at location	england
south orkney islands (antarctic treaty signatories)	structural-noun-compound	signatories
scratch	agent	fingernail
lift heavy object	structural-verb	lift
live underground	structural-patient	underground
central african republic	at location	southern hemisphere
shape	kind of	physical property
spring	kind of	season
deer	kind of	herbivore
give birth	agent	monkey
protect	instrument	hide
destroy plant	agent	fire
new zealand	structural-noun-compound	zealand
take	patient	object
replace	patient	renewable resource
heat prehistoric animal remains	result	natural gas
michigan	instance of	state
dry wood	structural-noun	wood
greatest depth	structural-noun	depth
zero speed	structural-adjective	zero
animal find shelter	instrument	animal move
flatness	kind of	shape
ocean	has subcomponent	continental shelf
warm	synonym	hot
remove dead organism	at location	environment
investigate	instrument	measure
kangaroo pouch	structural-noun-compound	pouch
brake	at location	wheel
absorb	agent	black object
place	patient	group
close	instance of	distance
clear	agent	planet
peeblesshire	at location	scotland
move rocket	structural-verb	move
duration	kind of	unit
warm	instance of	temperature
gravitational force	structural-adjective	gravitational
take in	synonym	eat
become	kind of	change
elevation	kind of	distance
whale shark	structural-noun-compound	shark
hong kong special administrative region	structural-noun-compound	special
water fall	structural-agent	water
west virginia	at location	united states of america
wax	has property	nonmagnetic
telephone	derivational morphology	telephone
great altitude	structural-adjective	great
more light	structural-noun	light
wood	kind of	object
fall	agent	rain
find mate	structural-patient	mate
british columbia	at location	canada
contribute	synonym	add
event	has property	natural
muscle cells	structural-noun	cells
reflect light ray	instrument	sunglasses
see	patient	visual thing
telephone	has subcomponent	sound
new york state	at location	united states of america
low elevation	structural-adjective	low
food web	structural-noun-compound	web
debris	causes	harm
animal	has subcomponent	eye
desert environment	has subcomponent	little food
bean plant	kind of	plant
predator eat	structural-verb	eat
navigate	instrument	star
metamorphic	kind of	rock
animal	has subcomponent	nutrient
born	derivational morphology	birth
decomposition	derivational morphology	decompose
natural resource	structural-adjective	natural
rub material	structural-noun	material
polluting gas	structural-adjective	polluting
deforested area	structural-noun	area
leaf change colour	structural-verb	change
onion	has subcomponent	odor
warwickshire	instance of	county
change	patient	shape
animal instinct	kind of	instinctive behaviour
ocean floor	structural-noun-compound	floor
good insulator	structural-noun	insulator
too much	structural-noun-compound	too
much force	structural-quantifier	much
liquid freeze	structural-verb	liquid
season change	has subcomponent	leaf change colour
cellular	derivational morphology	cell
nanometers	derivational morphology	nanometers
water	at location	environment
transport	patient	material
odor	has subcomponent	little gas
bang	synonym	hit
herbivore eat plant	structural-verb	eat
plant die	structural-verb	die
yeast cell	kind of	single-celled organism
prevent	patient	illness
height	has property	low
consumer eat organism	structural-patient	organism
chloroplast	has subcomponent	chlorophyll
pollution	at location	air
hover	synonym	stay still
many salt water	structural-noun	salt water
environment	has subcomponent	condition
thermal conduction	structural-adjective	thermal
earth tilt	causes	winter
exhale	patient	air
perform job	structural-verb	perform
jacobsite	has property	magnetic
aquatic animal	at location	water
turn on furnace	structural-patient	furnace
environmental harm	structural-noun	harm
plant die	structural-agent	plant
reuse object	structural-verb	reuse
water move sediment	result	sandbar
react	agent	baking soda
orbit	patient	earth
greenhouse effect	structural-noun-compound	greenhouse
réunion (france)	structural-noun-compound	réunion
reduce pollutant	structural-patient	pollutant
sound energy	has property	volume
bottom of swamp	structural-noun-compound	bottom
increase visibility	structural-verb	increase
shower	instrument	shower
carmarthenshire	instance of	county
cook liquid food	structural-verb	cook
crops	derivational morphology	crop
natural resources	derivational morphology	natural resource
bark	at location	tree trunk
inhibitor	derivational morphology	inhibit
new york	has property	near north pole
cow eat plant	structural-agent	cow
object	has property	transparent
treat water	structural-verb	treat
surface area	causes	evaporation
feel	instrument	whisker
decide class	structural-patient	class
boulder	kind of	large rock
earth rotate	at location	axis
stainless steel	has property	nonmagnetic
lift heavy object	structural-patient	heavy object
resource	patient	decrease
loosen soil	instrument	tunnel
national park limit	patient	logging
aquatic animal thrive	instrument	water
the gambia	at location	southern hemisphere
tearing	derivational morphology	tear
landslide	kind of	natural event
grow	kind of	activity
harm organism	structural-verb	harm
protect environment	structural-patient	environment
touch	patient	near
book	kind of	object
material	has property	mass
improve	patient	design
tuvalu	at location	southern hemisphere
remove	patient	dead organism
use object	structural-verb	use
cause formation	synonym	form
amphibian	has property	cold-blooded
copper wire	structural-noun	wire
body system	structural-noun-compound	body
air	has property	moving
reduce heat energy	structural-patient	heat energy
feather	has property	small
observing	derivational morphology	observe
survive	agent	living thing
block sunlight	structural-verb	block
greater width	structural-noun	width
day	has subcomponent	lunar cycle
deer	at location	forest
silver	kind of	metal
oil platform	structural-noun-compound	platform
high sound energy	structural-adjective	high
high heat energy	structural-adjective	high
calculate speed	instrument	know distance
falling water	structural-noun-compound	water
feel pressure	at location	skin
decrease	synonym	drop
tv	synonym	television
make	synonym	produce
wind	causes	erode
soil	has property	quality
electricity	at location	nervous system
warmth	instrument	fur
octopus hide	structural-agent	octopus
heilongjiang	at location	people's republic of china
degrees kelvin	structural-noun-compound	degrees
object	has subcomponent	appearance
light	at location	pupil
pressure carbon	structural-verb	pressure
air	has property	oxygenated
avoid predator	agent	prey
eat animal	agent	carnivore
bury vegetation	structural-verb	bury
bird eat berry	structural-patient	berry
predator	at location	prey
examine vehicle	beneficiary	safety
flowing liquid push	structural-agent	flowing liquid
break down	result	change shape
sweet smell	structural-adjective	sweet
odor	synonym	scent
save	patient	money
low quality soil	structural-adjective	low
insulator	synonym	good insulator
jarvis island (united states)	structural-noun-compound	island
estuary	kind of	water
white object	structural-noun	object
massachusetts	instance of	state
wallis and futuna (france)	structural-noun-compound	futuna
bear eat berry	structural-verb	eat
linlithgowshire	structural-noun-compound	linlithgowshire
south georgia and the south sandwich islands (united kingdom)	structural-noun-compound	united
controlling	derivational morphology	control
absorb air	structural-verb	absorb
ashmore and cartier islands (australia)	structural-noun-compound	cartier
warn	instrument	communicate
finish	instrument	help
ice crystals	derivational morphology	ice crystal
deposit	derivational morphology	deposit
cylindrical ferrous metal	structural-adjective	cylindrical
nonliving	antonym	living
support animal	structural-patient	animal
emit	synonym	release
live	agent	plant
guangxi	instance of	autonomous region
have positive impact	structural-verb	have
attract	antonym	repel
prevent	patient	occurrence
arctic	has subcomponent	snow
raising	derivational morphology	raise
harm animal species	structural-verb	harm
rock fold	structural-verb	fold
magnetism	has property	natural
transfer thermal energy	structural-patient	thermal energy
greece	at location	northern hemisphere
length	has property	greatest
nutrient	kind of	matter
catch fire	synonym	combust
produce	patient	energy
glacier melt	result	rock deposit
move	derivational morphology	movement
bedfordshire	at location	england
clipperton island (france)	at location	northern hemisphere
decrease size	structural-patient	size
aguascalientes	at location	mexico
compare	instrument	measure
farm	agent	human
vegetation become peat	instrument	extreme pressure
shape	has property	sharpness
flower become	result	fruit
magnetic	antonym	nonmagnetic
birth	agent	mouse
san luis potosí	structural-noun-compound	luis
specific place	structural-noun	place
mississippi delta	kind of	delta
survive	agent	single-cell organism
body part	kind of	object
coyoteite	has property	magnetic
short width	structural-adjective	short
narrow	instance of	width
jet stream	structural-noun-compound	jet
put together	derivational morphology	putting together
sound energy	structural-noun	energy
animal gather seed	structural-patient	seed
study	patient	moving habit
prepare	patient	storm
require	synonym	need
tell difference	structural-patient	difference
study fossil	structural-verb	study
low moisture	structural-noun	moisture
conduct	instrument	nervous system
store	patient	fat
stainless steel	structural-noun-compound	steel
m o v	structural-noun	v
temperature	has property	low
reflect light	result	see
sand	has subcomponent	small mineral
harm environment	result	harm living thing
type	kind of	property
light years	kind of	distance
northern winter	has subcomponent	december
part of	structural-noun-compound	part
large leaf	structural-noun	leaf
mammal give birth	structural-agent	mammal
living entity	has property	health
fertilizer	causes	pollution
baby chicken	structural-adjective	baby
brass	has subcomponent	zinc
camouflage	agent	organism
animal cell	structural-noun-compound	cell
average temperature	structural-quantifier	average
monkey birth	structural-agent	monkey
alligator	kind of	aquatic animal
plastic spoon	structural-noun	spoon
rice waste	structural-noun-compound	waste
plant born	structural-verb	born
require	patient	resource
sugar	kind of	simple carbohydrate
south carolina	structural-noun-compound	south
low	antonym	high
dissolved	derivational morphology	dissolve
hard	antonym	soft
melt	result	liquid
birds	derivational morphology	bird
animal adapt	structural-verb	adapt
light	kind of	nonliving thing
lava cool	at location	ocean floor
contract	result	change volume
lower	kind of	motion
float	at location	water
waste	has property	human
nature preserve	structural-noun-compound	preserve
pull	kind of	attract
protect	patient	hand
magnifying	derivational morphology	magnify
high quality soil	has subcomponent	many nutrient
water absorb solar energy	structural-verb	absorb
young	synonym	offspring
extensive property	structural-noun-compound	property
decrease temperature	structural-patient	temperature
variable volume	kind of	property
glacier move	result	great lakes
factor	has property	environmental
come	patient	together
east lothian	structural-noun-compound	east
organism grow	structural-verb	grow
water freezing point	structural-noun-compound	freezing
dependent variable	structural-noun-compound	dependent
detect	patient	odor
self sustain	structural-agent	self
muscles	derivational morphology	muscle
measuring	derivational morphology	measure
body	has subcomponent	bone cell
seed dispersal	structural-noun-compound	dispersal
kill	result	change
sandy soil	structural-noun	soil
biofuel	kind of	alternative energy resource
change	agent	season
potential energy	synonym	stored energy
conserve natural resource	kind of	conservation
convert	agent	battery
disappear	kind of	decrease
object	has property	temperature
nutrient	at location	circulatory system
cell	has subcomponent	cell nucleus
push	agent	flowing liquid
transpire	at location	leaf
find mate	instrument	coloration
stay cool	structural-adjective	cool
harm	patient	living thing
magnifying glass	structural-noun-compound	glass
move	patient	product
martinique (france)	at location	northern hemisphere
guanajuato	structural-noun-compound	guanajuato
metamorphic rock	structural-adjective	metamorphic
vinegar	kind of	liquid
dissolve	result	solution
carrion flower	has subcomponent	carrion-like smell
tianjin municipality	at location	people's republic of china
earth's surface change	structural-verb	change
wind blow	structural-verb	blow
leaf	kind of	plant
oil leak	at location	water exposure
electrical current	structural-noun-compound	current
nuclear fusion	structural-noun-compound	nuclear
little pollutant	structural-noun	pollutant
use	patient	less
mountain chorus frog	structural-noun-compound	mountain
asteroid impact	patient	moon
smell	has property	carrion-like
substance	has property	hot
dissolve	agent	carbon dioxide
steam	has property	hot
toaster	kind of	electrical device
come together	synonym	form group
night	has subcomponent	sun set
long tail	structural-adjective	long
flat area	structural-adjective	flat
louis pasteur	structural-noun-compound	pasteur
land mass	has property	large
southern summer	structural-noun	summer
aguascalientes	instance of	state
control water	structural-patient	water
eyeglass lens	structural-noun-compound	eyeglass
environment temperature	structural-noun-compound	environment
eagle eat rabbit	structural-verb	eat
smell	synonym	scent
face dimple	has property	indented
heat source	structural-noun-compound	heat
moving water	structural-adjective	moving
powdered mineral	structural-adjective	powdered
rutland	instance of	county
make observation	structural-patient	observation
edinburghshire	instance of	county
sodium chloride	synonym	salt
animal excrete seed	structural-agent	animal
conductor	has property	electrical
natural event	structural-noun	event
observe	synonym	see
dna	causes	gene
lava cool	result	new land
tilt from	patient	sun
scaled animal	has subcomponent	scale
appearance	synonym	look
sun	causes	heat
lunar surface	at location	moon
shine	at location	clear
invent	derivational morphology	inventing
alaska	structural-noun-compound	alaska
transport water	structural-patient	water
metamorphose	kind of	change
reflect	antonym	absorb
producer	kind of	living thing
magnetic material	structural-adjective	magnetic
fire	causes	heat
close	patient	switch
forest	kind of	environment
cayman islands (uk)	at location	northern hemisphere
cadmium	has property	magnetic
light bulb	kind of	electrical device
eagle	kind of	animal
montserrat (uk)	structural-noun-compound	montserrat
complete	patient	circuit
northamptonshire	at location	england
close light	structural-adjective	close
create peate	structural-verb	create
separate liquid	instrument	filter
bird	has property	female
unique leaf	structural-adjective	unique
l a	structural-noun-compound	l
find shelter	structural-patient	shelter
beach	kind of	location
digest	patient	food
survive	instrument	store fat
increase number	structural-verb	increase
solution	has subcomponent	substance
generate heat	agent	stove
year	has subcomponent	earth orbit
change environment	result	destroy environment
gravitational energy	structural-adjective	gravitational
translucent	instance of	opacity
s o	structural-adjective	s
physical change	structural-noun	change
harm entity	structural-patient	entity
bee eat pollen	structural-verb	eat
monitor	result	information
find shelter	structural-verb	find
wildfire	synonym	forest fire
contain water	instrument	water body
hand lens	structural-noun-compound	hand
degrees celsiu	structural-noun	degrees
burn coal	result	heat
hunt	agent	human
weather	synonym	air condition
fiji	at location	southern hemisphere
investigate life cycle	instrument	living thing
block light	instrument	object
smaller height	structural-adjective	smaller
inherited	derivational morphology	inherit
light travel	structural-agent	light
expand	agent	flexible container
combustion	kind of	exothermic reaction
natural ecosystem	has subcomponent	native living thing
switch on	patient	light bulb
light split	structural-agent	light
catch prey	instrument	claw
rabbit eat plant	structural-agent	rabbit
endangered	synonym	low population
create	kind of	cause
meadow vole	structural-noun-compound	vole
predator eat prey	structural-verb	eat
control cell	instrument	nucleus
process	has subcomponent	stage
bike move	structural-agent	bike
consumer	antonym	producer
swamp	has subcomponent	mud
blacktop	synonym	asphalt
meadow vole eat plant	structural-verb	eat
celcius	kind of	temperature
bad tool	causes	waste
wrap conductor	result	insulate
oxygen	kind of	fuel
melting	kind of	phase change
break rock	result	debris
central african republic	structural-noun-compound	african
female bird sit	at location	nest
high pressure system	structural-noun-compound	pressure
cumbria (cumberland)	structural-noun-compound	cumberland
thermal conductor	structural-noun-compound	thermal
mosquito lay egg	at location	water
western coral snake	kind of	snake
doorbell	kind of	electric device
vertical distance	structural-adjective	vertical
pull plow	structural-patient	plow
human body	structural-noun-compound	human
break down sugar	structural-verb	break down
wear safety goggle	at location	laboratory
melt	agent	ice
railroad track	structural-noun-compound	railroad
centimeter	kind of	length
move object	structural-patient	object
conserve resource	structural-verb	conserve
determine	patient	type
moving object	structural-noun	object
often	similar to	likely
plant light	similar to	sunlight
turn off tap	kind of	conservation
heal bone	instrument	vitamin d
tonnes	derivational morphology	tonnes
moist	synonym	high moisture
move waste	instrument	blood
stored energy	structural-noun-compound	stored
in common	structural-noun-compound	in
aquatic plant survive	structural-agent	aquatic plant
bright	synonym	many light
parent	has subcomponent	offspring
measure air pressure	structural-verb	measure
remove waste	structural-patient	waste
poison	causes	harm
united states of america	structural-noun-compound	america
peat become coal	structural-agent	peat
meadow vole eat plant	structural-patient	plant
moon	causes	tide
chicken	has property	young
hollow bone	has property	light
heal	agent	animal
river deposit	structural-noun-compound	river
rattle	kind of	motion
ferrous metals	structural-adjective	ferrous
electron microscope create	structural-agent	electron microscope
turn	synonym	change
material	has property	conductivity
365 day	structural-noun	day
see small thing	has property	difficult
shirt	kind of	clothes
body	has subcomponent	brain
pollutions standard	structural-noun-compound	standard
oxygenated air	structural-adjective	oxygenated
measure time	instrument	second
sonora	instance of	state
plant	has subcomponent	spice
rhode island	instance of	state
albania	at location	northern hemisphere
graph	has subcomponent	x axis
animal remains	structural-noun-compound	animal
soil	has subcomponent	small mineral
heat prehistoric animal remains	structural-verb	heat
object	has property	smooth
rough	antonym	smooth
kill plant	structural-patient	plant
state of matter	structural-noun-compound	state
lamp	has subcomponent	light bulb
leaf	kind of	object
low height	structural-noun	height
information	has property	hereditary
city	kind of	town
recycle	patient	resources
animal body	structural-noun-compound	body
environmental harm	structural-adjective	environmental
have oxygen	structural-patient	oxygen
north dakota	at location	united states of america
pedal	patient	bike
moon phase change	structural-verb	change
erosion	derivational morphology	erode
denbighshire	structural-noun-compound	denbighshire
piano key	structural-noun-compound	piano
conduct electricity	structural-patient	electricity
peck shell	kind of	instinct
caernarfonshire	at location	wales
washington, d.c.	instance of	federal district
farm plant	structural-verb	farm
alligator eat turtle	structural-patient	turtle
canopy	has property	large
move heavy object	instrument	lever
west lothian	instance of	county
living thing	has subcomponent	life cycle
shower	has subcomponent	water
tianjin municipality	structural-noun-compound	municipality
hatch	kind of	birth
starvation	derivational morphology	starve
car engine run	result	heat energy
colorado river	kind of	river
matter	has property	shape
carrion-like smell	structural-adjective	carrion-like
deposit	agent	rock
flashlight	kind of	electrical device
ice cube	kind of	object
electricity flow	at location	conductor
extreme	synonym	high value
stormy weather	structural-adjective	stormy
river deposit	has subcomponent	many nutrient
pedal	kind of	lever
impact	has property	positive
ross-shire	instance of	county
plant	has subcomponent	leaf
transpire	goal	atmosphere
pitcairn islands (united kingdom)	structural-noun-compound	united
solid melt	structural-verb	melt
matter	has property	solid
reduce amount	structural-verb	reduce
igneous	kind of	rock
rhode island	structural-noun-compound	island
animal matter	structural-noun-compound	animal
pollinator	derivational morphology	pollinate
drought	kind of	natural disaster
white fur	structural-adjective	white
greenhouse effect	structural-noun-compound	effect
running	derivational morphology	run
chameleon	kind of	lizard
natural resources	structural-noun	resources
move	patient	people
peach tree	structural-noun-compound	tree
last long	structural-verb	last
harm	patient	building
population size	structural-noun-compound	population
sunlight intensity	similar to	sunlight amount
produce food	structural-patient	food
change	derivational morphology	change
improve	agent	galileo galilei
falkland islands (uk)	structural-noun-compound	falkland
warm object	structural-noun	object
thing	has property	shiny
move waste	source	body
destroy habitat	structural-verb	destroy
destroy	patient	living thing
prevent illness	instrument	vaccine
nova scotia	instance of	province
compass	kind of	tool
drive	similar to	vehicle
são tomé and príncipe	structural-noun-compound	príncipe
fence	kind of	object
move	patient	rocket
photosynthesize	derivational morphology	photosynthesis
wind blow	result	energy
too much	structural-noun-compound	much
summer	causes	fall
computer	kind of	tool
raw material	structural-noun	material
food	has subcomponent	simple substance
el salvador	at location	northern hemisphere
farm	instrument	cropland
washington state	instance of	state
light	patient	candle
ice crystal	structural-noun-compound	ice
instinctive behavior	kind of	behavioral adaptation
pure substance	structural-adjective	pure
tree lifespan	instance of	lifespan
animal avoid	structural-agent	animal
housing	derivational morphology	house
energy	has property	mechanical
exhale	source	lung
artificial turf	synonym	fake grass
lunar surface	has subcomponent	many crater
simple circuit	structural-noun	circuit
united states virgin islands (us)	structural-noun-compound	virgin
quick shower	structural-noun	shower
create object	structural-patient	object
animal eat seed	structural-agent	animal
replace	patient	battery
falkland islands (uk)	structural-noun-compound	islands
transparent	instance of	opacity
sweet	kind of	flavor
safety goggles	derivational morphology	safety goggle
shorter	synonym	smaller height
cell membrane	kind of	membrane
light years	structural-noun-compound	light
l i	structural-noun	i
substance	has property	dense
provide energy	structural-patient	energy
reduce waste	structural-verb	reduce
respiratory system	structural-noun-compound	system
animal body	has subcomponent	vein
carbon dioxide-oxygen cycle	has subcomponent	oxygen
arkansas	instance of	state
boil	kind of	phase change
stay still	structural-patient	still
assemble kit	structural-verb	assemble
vegetation decay	structural-verb	decay
carnivore eat animal	structural-verb	eat
consume	agent	decomposer
montgomeryshire	structural-noun-compound	montgomeryshire
hawk eat snake	structural-patient	snake
higher size	structural-noun	size
soil	has subcomponent	solid particles
high sunlight	structural-quantifier	high
deer	kind of	animal
try	patient	find
estuary water	has property	brackish
value	has property	greater
cook islands (new zealand)	structural-noun-compound	zealand
height	causes	air pressure decrease
use	patient	vehicle
warm environment	structural-noun	environment
object	has subcomponent	part
liquid matter	instance of	matter
animal survive	instrument	air
high speed	structural-noun-compound	high
reproduction	kind of	process
conduct	derivational morphology	conducting
complex machine	has subcomponent	simple machine
atmosphere	has property	air pressure
vehicle	has property	wheeled
fifth planet	structural-noun	planet
share	patient	information
femtometers	derivational morphology	femtometers
drive	synonym	operate
breathe	patient	oxygenated water
oxygenate blood	at location	lungs
material	has property	positively-charged
burn natural gas	result	electricity
life cycle	structural-noun-compound	cycle
electric current	structural-noun-compound	current
light bulb filaments	structural-noun-compound	filaments
harm entity	structural-verb	harm
weight	similar to	mass
e	has property	d
incomplete metamorphosis	structural-noun	metamorphosis
saint barthélemy (france)	structural-noun-compound	saint
1 month	instance of	duration
become	result	warm
weather	has property	clear
breathe	instrument	lung
metamorphose	derivational morphology	metamorphosis
quick process	structural-adjective	quick
curling stem	structural-noun-compound	stem
frog hibernate	structural-agent	frog
take	antonym	leave
plant stem	has subcomponent	tube
bird	has subcomponent	wing
population increase	beneficiary	organism
guizhou	at location	people's republic of china
pull	agent	planet
migrate	kind of	instinctive behaviour
climate	kind of	weather
hit	patient	drum
visibility decrease	structural-agent	visibility
32 kg	structural-noun	kg
transport dirt	instrument	wind
drinking straw	kind of	object
pull weed	structural-verb	pull
less wet	structural-noun	wet
pluto	kind of	planet
anchor plant	at location	soil
democratic republic of the congo	structural-noun-compound	republic
birth	result	offspring
pollinate	causes	reproduce
change animal habitat	structural-patient	animal habitat
1 week	structural-quantifier	1
cloudy day	structural-adjective	cloudy
moon type	structural-noun-compound	moon
harm species	structural-patient	species
produce	kind of	cause
many pollution	structural-noun	pollution
centimeters	kind of	length
metamorphic rock	structural-noun	rock
vibrate	agent	string
condense	instrument	remove heat
salt	kind of	substance
taste	agent	animal
peck shell	structural-patient	shell
drop object	structural-patient	object
healthy	derivational morphology	health
show	synonym	present
complex carbohydrate	structural-adjective	complex
smooth surface	structural-adjective	smooth
hail	kind of	ice
sunset	causes	cold
cold place	structural-adjective	cold
daylight	synonym	sunlight
deep sea animal	has subcomponent	light
adult amphibian	structural-adjective	adult
martinique (france)	structural-noun-compound	france
living thing grow	instrument	water
literacy	has property	important
time length	structural-noun-compound	length
rock crack	structural-noun-compound	crack
object cool	structural-agent	object
windmill	causes	electricity
monarch butterfly	instance of	butterfly
change phase	structural-patient	phase
compete	agent	organism
argentina	at location	southern hemisphere
protect	instrument	sharp object
slow process	structural-noun	process
ecosystem change	structural-agent	ecosystem
remove nutrient	structural-verb	remove
shetland	instance of	county
object	at location	source
berwickshire	at location	scotland
compact	patient	sediment
worm	kind of	living thing
carbon dioxide	instance of	raw material
amount	has property	greater
dry environment	structural-adjective	dry
hollow object	structural-adjective	hollow
read measurement	structural-patient	measurement
substance	at location	circulatory system
animal eat seed	structural-verb	eat
tree grow	structural-verb	grow
least	instance of	amount
eat	patient	food
seasons	derivational morphology	season
find north	instrument	compass
reflect	agent	light
nanometers	kind of	length
build nest	structural-patient	nest
support plant	structural-patient	plant
drink	agent	animals
distant	synonym	great distance
see prey	structural-verb	see
distant location	structural-adjective	distant
earth's moon	structural-noun-compound	earth's
earth pole	structural-noun-compound	earth
small animal shelter	at location	environment
erode	result	landslide
winter	has property	northern
utah	instance of	state
sand	kind of	material
sunlight	has subcomponent	solar energy
coral sea islands (australia)	structural-noun-compound	islands
environment	has property	dry
uv	synonym	ultraviolet
water vapour cool	result	condense
food spoil	structural-agent	food
closed circuit	structural-adjective	closed
environment temperature	structural-noun-compound	temperature
change	patient	ecosystem
state of matter	structural-noun-compound	matter
mammal birth	structural-verb	birth
farm	derivational morphology	farm
safety gear	structural-noun-compound	gear
compare density	instrument	container
object	has property	long
close switch	structural-verb	close
eat acorn	beneficiary	chipmunk
animal bury seed	structural-patient	seed
light	kind of	energy
carpet	has subcomponent	rough surface
fujian	at location	people's republic of china
yards	synonym	yd
eat	agent	remora fish
equal force	causes	still
change	agent	moon phase
pollinate	agent	insect
saint vincent and the grenadines	structural-noun-compound	saint
shed	patient	fur
function	synonym	purpose
die	agent	organism
kick	kind of	push
predator	has property	nocturnal
scaled	derivational morphology	scale
size	has property	greater
idaho	at location	united states of america
essex	structural-noun-compound	essex
drink beverage	structural-verb	drink
animal remains	structural-noun-compound	remains
montana	instance of	state
pull bone	instrument	muscle
lenses	derivational morphology	lenses
high sound intensity	structural-adjective	high
body of water	kind of	environment
idaho	structural-noun-compound	idaho
carry	synonym	transport
tokelau (new zealand)	at location	southern hemisphere
respiratory system	structural-noun-compound	respiratory
less size	structural-noun	size
less precipitation	result	drought
good bacteria	structural-noun	bacteria
missouri	instance of	state
die	instrument	cold
cause	synonym	result in
ultraviolet ray	structural-noun-compound	ultraviolet
move habitat	structural-verb	move
assemble something	structural-patient	something
quantity	synonym	amount
orange	kind of	color
querétaro	structural-noun-compound	querétaro
hereditary information	structural-noun	information
nuclear reaction	structural-noun	reaction
wigtownshire	structural-noun-compound	wigtownshire
body of water	structural-noun-compound	of
tonnes	kind of	mass
hide	at location	environment
measure temperature	structural-verb	measure
hold animal	structural-verb	hold
flying	derivational morphology	fly
improve	synonym	have positive impact
electrical insulator	structural-noun	insulator
poor health	antonym	good health
melt	agent	glacier
build	patient	housing development
erosion	kind of	process
thin	instance of	thickness
orbit	agent	planet
combine substance	structural-patient	substance
jiangxi	instance of	province
ningxia autonomous region	at location	people's republic of china
exothermic reaction	causes	heat
low pressure system	causes	precipitation
ross-shire	structural-noun-compound	shire
uneven heating	causes	convection
object	has subcomponent	matter
warm weather	structural-adjective	warm
somerset	instance of	county
get cold	structural-adjective	cold
100c	kind of	celcius
close switch	result	electricity flow
stop	synonym	0 speed
navassa island (us)	structural-noun-compound	island
water	kind of	object
low sunlight	structural-noun	sunlight
know	patient	distance
group material	structural-verb	group
inner mongolia autonomous region	structural-noun-compound	inner
many required item	structural-quantifier	many
cell wall	structural-noun-compound	cell
planet	kind of	celestial body
compress	patient	decomposing algae
ferrous metal	structural-noun	metal
loose soil	structural-adjective	loose
pupa stage	structural-noun-compound	pupa
seed	has subcomponent	food
perform job	structural-patient	job
break down rock	synonym	mechanical weathering
vegetation become peat	structural-agent	vegetation
e	has property	f
hen	kind of	chicken
abundant	synonym	high number
store	instrument	cactus stem
metamorphose	instrument	extreme heat
producer produce	structural-agent	producer
leave	agent	animal
earth year	synonym	solar year
bury	patient	plant
substance	has property	basic
incandescent light bulb	structural-noun-compound	bulb
product	derivational morphology	produce
lakes	derivational morphology	lakes
frog hibernate	at location	mud
moon	has property	little bright
generate	patient	electricity
cut down tree	structural-patient	tree
stick	kind of	object
absorb	synonym	stop
plant crop	structural-verb	plant
tear	kind of	change
small piece	structural-noun	piece
nova scotia	structural-noun-compound	nova
big flower	structural-adjective	big
sugar	kind of	substance
paper	has subcomponent	tree
young human	structural-noun	human
increase mpg	structural-verb	increase
building	derivational morphology	build
switzerland	at location	northern hemisphere
string	has property	small diameter
space	has property	close
heat building	structural-verb	heat
caithness	instance of	county
measuring cup	structural-noun-compound	measuring
bright petal	structural-noun	petal
territory of new caledonia and dependencies (france)	at location	southern hemisphere
emit	synonym	produce
get	result	cold
anchor plant	instrument	root
i	has property	l
eat food	structural-patient	food
support animal	agent	habitat
plant	at location	shelter
shell	has property	hard
material	has property	structure
measure	patient	earthquake magnitude
length	kind of	inherited characteristic
pasteurize	result	less bacterium
preference	kind of	learned characteristic
hurricane	kind of	storm
wind	kind of	weather
car move	structural-verb	move
guitar	kind of	musical instrument
light bulb filament	has subcomponent	tungsten
condense	instrument	reduce heat energy
sussex	structural-noun-compound	sussex
use tool	kind of	learned characteristic
eat	agent	omnivore
tap	result	vibrate
push	patient	tectonic plate
magnify	result	large
attract	kind of	function
drinking straw	has property	flexible
arizona mountain king snake	structural-noun-compound	snake
tilt from	agent	pole
property	kind of	information
soil erode	instrument	water exposure
staying	derivational morphology	stay
sediment compact	structural-verb	compact
heal	instrument	rest
object	has subcomponent	function
monitor location	structural-patient	location
brake	kind of	object
transport food	source	root
remove waste	structural-verb	remove
require	similar to	need help
plate tectonic	causes	mountain
slip	patient	ice
hollow object	structural-noun	object
developing	derivational morphology	develop
describe	patient	size
