subj	rel	obj
invent	derivational morphology	inventing
metamorphose	kind of	change
reflect	antonym	absorb
heat	has positive impact on	hurricane
producer	kind of	living thing
fire	causes	heat
close	patient	switch
raccoon eat waste	has positive impact on	raccoon
forest	kind of	environment
cayman islands (uk)	at location	northern hemisphere
cadmium	has property	magnetic
light bulb	kind of	electrical device
eagle	kind of	animal
complete	patient	circuit
northamptonshire	at location	england
separate liquid	instrument	filter
bird	has property	female
beach	kind of	location
digest	patient	food
survive	instrument	store fat
solution	has subcomponent	substance
generate heat	agent	stove
year	has subcomponent	earth orbit
change environment	result	destroy environment
translucent	instance of	opacity
eagle eat rabbit	has positive impact on	eagle
monitor	result	information
wildfire	synonym	forest fire
burn coal	result	heat
hunt	agent	human
weather	synonym	air condition
fiji	at location	southern hemisphere
investigate life cycle	instrument	living thing
block light	instrument	object
inherited	derivational morphology	inherit
expand	agent	flexible container
combustion	kind of	exothermic reaction
switch on	patient	light bulb
catch prey	instrument	claw
create	kind of	cause
control cell	instrument	nucleus
process	has subcomponent	stage
consumer	antonym	producer
swamp	has subcomponent	mud
blacktop	synonym	asphalt
celcius	kind of	temperature
bad tool	causes	waste
wrap conductor	result	insulate
oxygen	kind of	fuel
melting	kind of	phase change
break rock	result	debris
female bird sit	at location	nest
mosquito lay egg	at location	water
western coral snake	kind of	snake
doorbell	kind of	electric device
melt	agent	ice
centimeter	kind of	length
determine	patient	type
often	similar to	likely
plant light	similar to	sunlight
turn off tap	kind of	conservation
heal bone	instrument	vitamin d
tonnes	derivational morphology	tonnes
moist	synonym	high moisture
move waste	instrument	blood
bright	synonym	many light
parent	has subcomponent	offspring
poison	causes	harm
moon	causes	tide
chicken	has property	young
hollow bone	has property	light
heal	agent	animal
rattle	kind of	motion
turn	synonym	change
material	has property	conductivity
see small thing	has property	difficult
shirt	kind of	clothes
body	has subcomponent	brain
measure time	instrument	second
sonora	instance of	state
plant	has subcomponent	spice
rhode island	instance of	state
albania	at location	northern hemisphere
soil	has subcomponent	small mineral
object	has property	smooth
rough	antonym	smooth
lamp	has subcomponent	light bulb
leaf	kind of	object
information	has property	hereditary
light pollution	has negative impact on	see star
city	kind of	town
recycle	patient	resources
north dakota	at location	united states of america
pedal	patient	bike
erosion	derivational morphology	erode
peck shell	kind of	instinct
caernarfonshire	at location	wales
washington, d.c.	instance of	federal district
canopy	has property	large
move heavy object	instrument	lever
west lothian	instance of	county
living thing	has subcomponent	life cycle
shower	has subcomponent	water
find resource	has positive impact on	health
hatch	kind of	birth
starvation	derivational morphology	starve
car engine run	result	heat energy
colorado river	kind of	river
matter	has property	shape
deposit	agent	rock
flashlight	kind of	electrical device
ice cube	kind of	object
electricity flow	at location	conductor
extreme	synonym	high value
river deposit	has subcomponent	many nutrient
pedal	kind of	lever
impact	has property	positive
ross-shire	instance of	county
plant	has subcomponent	leaf
transpire	goal	atmosphere
matter	has property	solid
igneous	kind of	rock
pollinator	derivational morphology	pollinate
drought	kind of	natural disaster
running	derivational morphology	run
chameleon	kind of	lizard
move	patient	people
harm	patient	building
sunlight intensity	similar to	sunlight amount
pollution	has negative impact on	environment
change	derivational morphology	change
improve	agent	galileo galilei
thing	has property	shiny
move waste	source	body
destroy	patient	living thing
prevent illness	instrument	vaccine
nova scotia	instance of	province
compass	kind of	tool
drive	similar to	vehicle
fence	kind of	object
move	patient	rocket
photosynthesize	derivational morphology	photosynthesis
wind blow	result	energy
summer	causes	fall
computer	kind of	tool
food	has subcomponent	simple substance
el salvador	at location	northern hemisphere
farm	instrument	cropland
washington state	instance of	state
light	patient	candle
instinctive behavior	kind of	behavioral adaptation
tree lifespan	instance of	lifespan
housing	derivational morphology	house
energy	has property	mechanical
exhale	source	lung
lunar surface	has subcomponent	many crater
replace	patient	battery
transparent	instance of	opacity
sweet	kind of	flavor
safety goggles	derivational morphology	safety goggle
cell membrane	kind of	membrane
substance	has property	dense
kidney	has positive impact on	blood
animal body	has subcomponent	vein
carbon dioxide-oxygen cycle	has subcomponent	oxygen
arkansas	instance of	state
boil	kind of	phase change
consume	agent	decomposer
soil	has subcomponent	solid particles
deer	kind of	animal
try	patient	find
value	has property	greater
height	causes	air pressure decrease
use	patient	vehicle
object	has subcomponent	part
liquid matter	instance of	matter
animal survive	instrument	air
reproduction	kind of	process
conduct	derivational morphology	conducting
complex machine	has subcomponent	simple machine
atmosphere	has property	air pressure
vehicle	has property	wheeled
share	patient	information
femtometers	derivational morphology	femtometers
drive	synonym	operate
breathe	patient	oxygenated water
material	has property	positively-charged
burn natural gas	result	electricity
weight	similar to	mass
e	has property	d
1 month	instance of	duration
become	result	warm
weather	has property	clear
breathe	instrument	lung
metamorphose	derivational morphology	metamorphosis
take	antonym	leave
bird	has subcomponent	wing
population increase	beneficiary	organism
guizhou	at location	people's republic of china
pull	agent	planet
migrate	kind of	instinctive behaviour
climate	kind of	weather
hit	patient	drum
transport dirt	instrument	wind
drinking straw	kind of	object
pluto	kind of	planet
anchor plant	at location	soil
birth	result	offspring
pollinate	causes	reproduce
produce	kind of	cause
centimeters	kind of	length
vibrate	agent	string
condense	instrument	remove heat
salt	kind of	substance
taste	agent	animal
healthy	derivational morphology	health
show	synonym	present
hail	kind of	ice
sunset	causes	cold
daylight	synonym	sunlight
deep sea animal	has subcomponent	light
living thing grow	instrument	water
literacy	has property	important
windmill	causes	electricity
monarch butterfly	instance of	butterfly
compete	agent	organism
argentina	at location	southern hemisphere
protect	instrument	sharp object
shetland	instance of	county
object	at location	source
berwickshire	at location	scotland
compact	patient	sediment
worm	kind of	living thing
carbon dioxide	instance of	raw material
amount	has property	greater
bear eat insect	has positive impact on	bear
substance	at location	circulatory system
least	instance of	amount
eat	patient	food
seasons	derivational morphology	season
find north	instrument	compass
reflect	agent	light
nanometers	kind of	length
drink	agent	animals
distant	synonym	great distance
small animal shelter	at location	environment
erode	result	landslide
winter	has property	northern
utah	instance of	state
sand	kind of	material
sunlight	has subcomponent	solar energy
environment	has property	dry
water vapour cool	result	condense
change	patient	ecosystem
farm	derivational morphology	farm
compare density	instrument	container
object	has property	long
eat acorn	beneficiary	chipmunk
light	kind of	energy
carpet	has subcomponent	rough surface
fujian	at location	people's republic of china
yards	synonym	yd
eat	agent	remora fish
equal force	causes	still
change	agent	moon phase
pollinate	agent	insect
shed	patient	fur
function	synonym	purpose
die	agent	organism
kick	kind of	push
predator	has property	nocturnal
scaled	derivational morphology	scale
size	has property	greater
idaho	at location	united states of america
montana	instance of	state
pull bone	instrument	muscle
body of water	kind of	environment
carry	synonym	transport
tokelau (new zealand)	at location	southern hemisphere
less precipitation	result	drought
missouri	instance of	state
die	instrument	cold
cause	synonym	result in
quantity	synonym	amount
orange	kind of	color
tonnes	kind of	mass
hide	at location	environment
flying	derivational morphology	fly
improve	synonym	have positive impact
poor health	antonym	good health
melt	agent	glacier
build	patient	housing development
erosion	kind of	process
thin	instance of	thickness
friction	has negative impact on	motion
orbit	agent	planet
jiangxi	instance of	province
ningxia autonomous region	at location	people's republic of china
exothermic reaction	causes	heat
low pressure system	causes	precipitation
uneven heating	causes	convection
object	has subcomponent	matter
somerset	instance of	county
100c	kind of	celcius
close switch	result	electricity flow
stop	synonym	0 speed
water	kind of	object
know	patient	distance
planet	kind of	celestial body
compress	patient	decomposing algae
crack entity	has negative impact on	entity
seed	has subcomponent	food
break down rock	synonym	mechanical weathering
e	has property	f
hen	kind of	chicken
store	instrument	cactus stem
metamorphose	instrument	extreme heat
leave	agent	animal
bury	patient	plant
substance	has property	basic
product	derivational morphology	produce
frog hibernate	at location	mud
moon	has property	little bright
generate	patient	electricity
stick	kind of	object
absorb	synonym	stop
tear	kind of	change
sugar	kind of	substance
save money	has positive impact on	happiness
paper	has subcomponent	tree
eagle eat snake	has positive impact on	eagle
building	derivational morphology	build
switzerland	at location	northern hemisphere
string	has property	small diameter
space	has property	close
caithness	instance of	county
territory of new caledonia and dependencies (france)	at location	southern hemisphere
emit	synonym	produce
get	result	cold
anchor plant	instrument	root
i	has property	l
support animal	agent	habitat
plant	at location	shelter
shell	has property	hard
electrical circuit	has positive impact on	electrical current
material	has property	structure
measure	patient	earthquake magnitude
length	kind of	inherited characteristic
pasteurize	result	less bacterium
preference	kind of	learned characteristic
hurricane	kind of	storm
wind	kind of	weather
guitar	kind of	musical instrument
light bulb filament	has subcomponent	tungsten
condense	instrument	reduce heat energy
use tool	kind of	learned characteristic
eat	agent	omnivore
tap	result	vibrate
push	patient	tectonic plate
magnify	result	large
attract	kind of	function
drinking straw	has property	flexible
tilt from	agent	pole
property	kind of	information
soil erode	instrument	water exposure
staying	derivational morphology	stay
heal	instrument	rest
object	has subcomponent	function
brake	kind of	object
transport food	source	root
require	similar to	need help
plate tectonic	causes	mountain
slip	patient	ice
developing	derivational morphology	develop
describe	patient	size
roam	synonym	move around
sense	kind of	characteristic
robin	kind of	bird
spray	patient	pesticide
measure time	patient	time interval
eat animal	instrument	kill animal
object	has property	opacity
charles darwin study	patient	animal
nervous system	kind of	body system
british columbia	instance of	province
light	has property	blue
break down	result	piece
describe size	instrument	size
fire	has negative impact on	living ent
organism	has property	local
ferrous metal	has property	cylindrical
tidal range	kind of	vertical distance
magnetism affect	patient	distant object
alligator eat turtle	has positive impact on	alligator
invent	patient	telephone
altitude	kind of	measure
electrical insulation	has subcomponent	insulator
surroundings	derivational morphology	surrounding
use renewable resource	has negative impact on	nonrenewable resource
bird eat insect	has negative impact on	insect
block sunlight	at location	area
lemon	has subcomponent	odor
resource	has property	renewable
pull weed	result	destroy
look	synonym	see
reflect sunlight	agent	moon
boy	kind of	young human
width	has property	greater
automobile	kind of	vehicle
play	instrument	warm temperature
eyeglasses	has subcomponent	lens
tunisia	at location	southern hemisphere
enable	instrument	vehicle
electricity	causes	pollution
earthquake	has property	quick
snake	kind of	animal
assemble	synonym	put together
oxygen	at location	air
appalachian mountains	kind of	mountain
electromagnet	has property	magnetic
cook	result	food
water vapour	kind of	moisture
take picture	kind of	observation
rainy	synonym	rain
nuclear reaction	causes	light
paper	kind of	material
person	synonym	human
hard object	has property	high vibration
rabbit	kind of	mammal
delaware	at location	united states of america
oil mixed with water	has subcomponent	water
planet rotate	causes	night
ice	has property	cold
alligator eat fish	has negative impact on	fish
skin	kind of	organ
transport nutrient	instrument	artery
parent	has subcomponent	inherited characteristic
ice	kind of	solid
milliliters	synonym	ml
lead	kind of	element
still	antonym	move
kill	result	die
property	synonym	feature
collection	derivational morphology	collect
decompose	agent	bacteria
restore	derivational morphology	restoration
warmth	instrument	fat
produce	agent	producer
stay same	antonym	change
degrees celsius	kind of	temperature
user	kind of	person
point	agent	floating arrow
toward	kind of	direction
island	has subcomponent	beach
motion	kind of	event
specialize	agent	cell
netherlands	at location	northern hemisphere
fast	kind of	speed
breathe	agent	animal
decade	kind of	duration
decline	synonym	decrease
food chain	has subcomponent	nutrient
plug in	agent	electrical conductor
hong kong	at location	people's republic of china
control robot	agent	computer
saint kitts and nevis	at location	northern hemisphere
native plants	has positive impact on	ecosystem
warmth	has positive impact on	health
reduced	derivational morphology	reduce
horse	has subcomponent	mane
plant grow	instrument	specific climate
kg	synonym	kilogram
sound reflect	at location	surface
reproduce	instrument	genetic information
maine	instance of	state
increase	patient	strength
lose water	has negative impact on	body of water
change height	at location	slope
taste	patient	flavor
show	patient	change
puerto rico (us)	at location	northern hemisphere
move	agent	bike
attract	instrument	magnetism
important	has positive impact on	object
aquatic animal	has subcomponent	webbed feet
hebei	at location	people's republic of china
winter	kind of	season
create peate	at location	bottom of swamp
pollinator	agent	pollinate
heat	result	hot
cape verde	at location	southern hemisphere
observe distant object	instrument	telescope
scavenge	synonym	find food
predict weather	instrument	study weather
solid melt	instrument	melting point
compare	patient	density
shiver	kind of	shake
discover	patient	color
carbonated beverage	has subcomponent	carbon dioxide
paper clip	has subcomponent	magnetic metals
bicycle	has subcomponent	wheel
measure	patient	earthquake
same	synonym	identical
reflect	agent	light colour
meadow voles	derivational morphology	meadow vole
excrete	derivational morphology	excretion
anchor	synonym	provide support
incandescent light bulb	causes	light
anglesey	at location	wales
jiangsu	at location	people's republic of china
identify boiling point	instrument	heat liquid
grow	result	increase strength
requirement	has positive impact on	living entity
measure time	kind of	tool
gravitational	derivational morphology	gravity
material	has property	raw
grams	kind of	mass
born	agent	plant
years	kind of	time
tree	has property	age
lizard weight	synonym	0.5 kg
snow melt	result	water
shape	has property	definite
juice	kind of	solution
qinghai	at location	people's republic of china
marsh willow herb	kind of	plant
transport mineral	kind of	function
lancashire	instance of	county
absorb	patient	air
renew soil	instrument	crop rotation
earth surface	has subcomponent	ocean
candle	kind of	object
cat	kind of	mammal
ice	kind of	water
finland	at location	northern hemisphere
riding	derivational morphology	ride
animal	has subcomponent	bladder
affect	synonym	change
june	kind of	month
container	has subcomponent	substance
same	antonym	different
animal	has subcomponent	limb
rock layer fold	result	old rock rise
electrocution	has negative impact on	organism
shape	kind of	appearance
peat become coal	instrument	extreme heat
touch	result	sound
move water	instrument	blood
object	has subcomponent	material
power electrical device	instrument	closed circuit
breathe oxygen	result	survive
heavy	instance of	mass
sinking	derivational morphology	sink
animal	at location	environment
water	has property	below
discard waste	agent	human
absorb	patient	light
carbon cycle	kind of	process
predator eat animal	has positive impact on	predator
battery convert	result	electrical energy
egg hatch	instrument	warmth
magnify	patient	small object
season	synonym	temperature change
observe	instrument	sense
owl	kind of	predator
crack	patient	sidewalk
remote-control toy	kind of	toy
fast	synonym	quick
transmittance	antonym	refraction
see	patient	small thing
compete	agent	human
sprout	kind of	born
consumer	derivational morphology	consume
make food	result	self sustain
find	patient	shelter
bedrock	kind of	rock
container	has property	flexible
heat	instrument	heat
putting	derivational morphology	put
railroad track	kind of	object
respiratory system	has subcomponent	lung
alabama	at location	united states of america
sign	synonym	evidence
raccoon eat garbage	has negative impact on	garbage
element	kind of	material
object	has property	useful
curling	kind of	behavior
aquatic	at location	water
destroyed	derivational morphology	destroy
shed	result	lose skin
matter	has property	state
thrust	result	move
sunlight	derivational morphology	sun
scrape	synonym	scratch
weather	result	soil
san luis potosí	instance of	state
absorb	agent	root
magnetism	causes	attract
find	patient	resource
wheel and axle	kind of	simple machine
clear	patient	forest
survive	agent	egg
ounces	kind of	weight
transport	synonym	move
material	has property	solid
southern winter	has subcomponent	june
dead organism	has subcomponent	nutrient
body of water	kind of	land feature
lighter	synonym	less weight
fly	kind of	insect
warn	patient	danger
soda	kind of	beverage
dwarf planet	has property	small
juice	kind of	matter
group	synonym	place group
setting	derivational morphology	set
pebble	kind of	small rock
create	result	product
building	has subcomponent	furnace
light pollution	has subcomponent	light
warn	instrument	prediction
location	synonym	position
skin	has property	appearance
winter	has property	southern
strengthen bone	instrument	vitamin d
container	kind of	object
air	has property	warm
metamorphose	agent	immature animal
object	has property	cool
cover hand	instrument	glove
bird	instance of	predator
gold	kind of	element
remove dead organism	result	remove nutrient
toward	antonym	away
create	patient	object
tie back	patient	hair
population	at location	area
crumble	synonym	break down
remove waste	instrument	excretory system
tree	has subcomponent	fruit
grass	kind of	surface
object	has property	density
protect	result	resist damage
new south wales	at location	australia
animal eat	patient	nutrient
force	causes	speed
centimeters	synonym	cm
pollute	agent	human
protect	instrument	cactus spine
animal remains	has property	prehistoric
intense	synonym	high intensity
fertilizer	has subcomponent	chemical
plant matter	kind of	organic matter
require	derivational morphology	required
wood	has property	dry
animal	has subcomponent	instinctive behaviour
swamp	kind of	environment
look	kind of	see
jackrabbit	has subcomponent	long ear
tree	has property	large
navigate	at location	sea
windmill	has subcomponent	wind energy
hatch	agent	egg
animal eat	patient	plant
find food	instrument	smell
cell respire	result	water
transport	instrument	vehicle
mirror	has subcomponent	shiny surface
cool	patient	human
multiply	instrument	calculator
carry	similar to	conduct
make food	agent	organism
distance	has property	great
heal	instrument	energy
process	has property	quick
water boiling point	synonym	212f
xinjiang autonomous region	instance of	autonomous region
aquatic animal	kind of	animal
below	antonym	above
evaporation	kind of	process
store food	agent	animal
forfarshire	instance of	county
liquid	at location	pipe
connecticut	instance of	state
electric toothbrush	kind of	electric device
learn	instrument	observe
lose water	agent	animal
rise	derivational morphology	rising
little food	causes	decrease population
mixed	derivational morphology	mix
earthquake	causes	rock layer fold
jilin	instance of	province
prey	kind of	animal
gene	has property	dominant
fuel supply	kind of	resource
flowers	derivational morphology	flower
soil	has property	low
invent telephone	at location	boston
object	has property	negatively-charged
sense	has property	enhanced
die	agent	living thing
big amount	has positive impact on	extensive property
crystal	has subcomponent	crystal structure
car	kind of	object
insect	has subcomponent	six legs
cat	kind of	carnivore
vegetation	synonym	plant
pump	patient	blood
broken	derivational morphology	break
supply	agent	source
humid	instance of	humidity
district of columbia	synonym	washington, d.c.
availability	has positive impact on	consumer
eyeglass lens	kind of	object
ground	at location	bottom of area
stopped	synonym	0 speed
make	patient	valid conclusion
excrete	patient	seed
earth rotate	result	sun move
dog weight	instance of	weight
product	kind of	object
touching	derivational morphology	touch
chemical reaction	causes	substance
be user for	similar to	allow
snap	result	particle vibrate
pollinate	agent	pollinator
household	derivational morphology	home
grow large	result	size increase
stop	synonym	zero speed
step	synonym	stage
long lasting object	has negative impact on	replacement
fox	kind of	animal
adaptation	has positive impact on	health
play	at location	beach
egg develop	instrument	warmth
enter	agent	light
lever	kind of	simple machine
light bulb	has subcomponent	light bulb filament
telephone	agent	human
south georgia and the south sandwich islands (united kingdom)	at location	southern hemisphere
leave	patient	undisturbed
star	kind of	celestial object
energy	has property	heat
breathe	patient	oxygen
need	synonym	require
harm	patient	environment
property	derivational morphology	place
spring	has subcomponent	warm temperature
remove	patient	forest
emit	agent	source
grow	patient	large
pollutant	derivational morphology	pollution
snow	kind of	ice
produce	patient	electricity
tree	kind of	matter
landform	synonym	land feature
boil	result	less liquid
remove	patient	harmful substance
leak	agent	oil
animal	has property	adult
predator eat prey	has negative impact on	prey
height	kind of	inherited characteristic
sun	has subcomponent	sunlight
allow	synonym	can
conduct	patient	electricity
skin	has property	very large
ayrshire	at location	scotland
thunder	has property	loud
hum	kind of	sound
record	patient	image
colour	has property	light
monmouthshire	instance of	county
lizard weight	instance of	weight
speed	has property	zero
eat insect	agent	insect
oklahoma	at location	united states of america
object	has property	hollow
crack sidewalk	agent	root
panel	kind of	object
leaf	has property	brown
reflect	instrument	mirror
sun	causes	rainbow
water vapour	kind of	gas
kinross-shire	at location	scotland
decrease	patient	population
northumberland	at location	england
city	kind of	location
vegetation become peat	instrument	extreme heat
kincardineshire	at location	scotland
size	has property	lower
increase	patient	daylight
summer	has subcomponent	hot temperature
moisture	causes	hurricane
nurse	agent	mammal
sleep	causes	health
chimpanzee dig	result	insect
many sleep	result	unhealthy
earth rotate	at location	earth's axis
dam	patient	river
move	instrument	fin
rock erode	instrument	heat exposure
gram	kind of	mass
make	patient	observation
erode soil	has negative impact on	environment
camouflage	beneficiary	prey
cell respire	result	carbon dioxide
nottinghamshire	instance of	county
take in	patient	oxygen
melt	instrument	heat
soil erode	instrument	heat exposure
support cell	instrument	cell membrane
open clam	instrument	rock
feel	patient	pressure
protect	instrument	camouflage
insulator	has property	good
gradual	synonym	slow
examine vehicle	agent	person
perform task	kind of	function
magnify	result	big
dorset	at location	england
measure	patient	temperature
samoa	at location	southern hemisphere
days	derivational morphology	days
tide	kind of	natural event
bacterium	kind of	organism
renewable	antonym	nonrenewable
light	at location	water
dna	causes	inherited characteristic
decompose	derivational morphology	decomposer
fire	has subcomponent	flame
tadpole	kind of	young frog
climb object	agent	vine
piece	has property	small
lava cool	result	igneous rock
determine direction	instrument	compass
body part	kind of	inherited characteristic
block light	result	shadow
flintshire	instance of	county
summer	has subcomponent	most sunlight
path	kind of	pathway
lightning	causes	thunder
motion	synonym	kinetic energy
degrees kelvin	synonym	k
cloud	kind of	weather
bird fly south	kind of	migrate
centimeters	kind of	distance
control	patient	water
diameter	has property	small
activity	causes	lose water
motion	synonym	movement
dark	has negative impact on	photosynthesize
dry	instance of	humidity
heilongjiang	instance of	province
malta	at location	northern hemisphere
drop	patient	object
mouse	has subcomponent	fur
weight	has property	low
coyote	kind of	animal
magnet attract	patient	metal
sutherland	instance of	county
thrust	synonym	push
guangxi	at location	people's republic of china
crop	has property	edible
dumfriesshire	at location	scotland
measure length	patient	object
burn	patient	living thing
duration	similar to	time
vehicle operate	instrument	gasoline
stout beardfish	kind of	fish
positive impact	synonym	benefit
produce electricity	instrument	tidal energy
big eye	has positive impact on	see
celestial body move	kind of	event
clay	kind of	material
same	synonym	equal
nanometers	kind of	distance
insulated	derivational morphology	insulate
farmer	kind of	human
run	agent	car engine
fan	has property	electric
weed	kind of	plant
evaporate	result	less water
changing	derivational morphology	change
guitar	has subcomponent	guitar string
destruction	derivational morphology	destroy
brain control	patient	nervous system
farm crop	result	food
carbon dioxide	at location	air
inherited characteristic	antonym	learned characteristic
frogs	derivational morphology	frog
high	similar to	altitude
ivory coast	at location	southern hemisphere
shine	agent	light
electricity	has subcomponent	moving charged particles
requirement	derivational morphology	require
eat	patient	poison
open	patient	clam
bacterium	has property	good
cover	patient	organism remains
pant	agent	animal
clear	instance of	weather
material	has property	malleable
sedimentary rock	kind of	rock
build	patient	tool
number	has property	greater
tabasco	at location	mexico
boil	result	spread out
refract	result	change appearance
atlantic ocean	kind of	ocean
respiratory	derivational morphology	respire
bowl	kind of	container
drive	patient	vehicle
ferrous metal	has subcomponent	iron
summer	has property	northern
lift flag	instrument	pulley
fruit	kind of	object
likely	similar to	usually
less	similar to	decrease
balance	patient	ball
eat food	result	increase weight
block	kind of	object
die	result	dead
break down food	result	energy
tectonic plates	derivational morphology	tectonic plate
decimeters	derivational morphology	decimeters
recycle	result	water
push	kind of	motion
rest	derivational morphology	rest
burn	patient	natural gas
berry	kind of	fruit
power	synonym	provide energy
eat animal	agent	predator
grenada	at location	northern hemisphere
dry environment	has subcomponent	little water
hide	instrument	live underground
animal eat	patient	crop
reaction	has property	chemical
sun	has negative impact on	eye
plant grow	result	big leaf
reflect light	instrument	tinted lens
material	has property	property
catch	synonym	obtain
see small thing	instrument	microscope
destroy	causes	harm
shed	result	lose hair
mica	has property	nonmetallic
maintain number	instrument	replace
degrees fahrenheit	synonym	f
sense	patient	warning
nonmagnetic	instance of	magnetism
animal	has property	pollinating
nonliving things	derivational morphology	nonliving thing
be	patient	extinct
ecosystem	has property	natural
daisy	kind of	flower
refrigerator	kind of	appliance
japan	at location	northern hemisphere
plant grow	instrument	space
capture food	instrument	spiderweb
norfolk	instance of	county
frog	has property	young
develop trait	agent	organism
grow	instrument	nutrient
soil	has property	infertile
filter	kind of	tool
rotation	derivational morphology	rotate
speed	has property	no
eagle eat rabbit	has negative impact on	rabbit
water	causes	rock erosion
gear	has property	safety
reptile	has property	cold-blooded
woodland	synonym	forest
degrees fahrenheit	kind of	temperature
crack	patient	entity
pencil	kind of	object
jet stream	causes	cold weather
tree	has subcomponent	leaf
invent	instrument	new information
bird	kind of	living thing
object	has property	positively-charged
conserve energy	instrument	hibernation
reproduce	kind of	activity
north	antonym	south
change	patient	colour
bark	at location	branch
plastic	kind of	synthetic material
water vapour condense	result	fog
magnifying lens	synonym	magnifying glass
shelter	instrument	tree
lens	has property	tinted
circular motion	similar to	circle
prepare	patient	food
money	has positive impact on	person
substance	has property	acidic
meat	at location	farm
ocean moisture	causes	hurricane
climate	synonym	environment
study	agent	charles darwin
animal	has subcomponent	diet
floor	kind of	object
wire	kind of	path
table	has property	hard
tabasco	instance of	state
rabbit	at location	forest
push tectonic plate	result	earthquake
peat become coal	at location	swamp
plane	has property	inclined
discover	result	discovery
sun rise	synonym	sunrise
indiana	instance of	state
eagle eat snake	has negative impact on	snake
matter	has property	weight
morelos	at location	mexico
length	kind of	unit
migrate	source	cool climate
amount	has property	reduced
hear	patient	sound
frog	has property	baby
virginia	instance of	state
laser	kind of	device
digest	agent	organism
frying	derivational morphology	fry
move	patient	sand
release energy	kind of	function
smoke	has negative impact on	lung
reproduce	result	offspring
width	has property	small
plant	kind of	resource
animal	has property	warm-blooded
pump blood	agent	heart
lack	antonym	contain
recycling	derivational morphology	recycle
generally	synonym	normal
organism	at location	home
oxygen	at location	blood
living entity	at location	habitat
oregon	at location	united states of america
examine vehicle	beneficiary	pollution standard
experiment	has subcomponent	chemical splash
illinois	instance of	state
communicate	agent	human
plastic	kind of	electrical insulator
flooding	kind of	change
moon's surface	synonym	lunar surface
veracruz	instance of	state
first quarter	kind of	moon phase
nitrogen	kind of	element
jarvis island (united states)	at location	southern hemisphere
kazoo	kind of	musical instrument
energy	has property	electrical
make food	agent	human
astronomy	kind of	science
carpool	result	less car
remora fish eat	instrument	attach shark
carbohydrate	has property	complex
number	has property	lowest
manganbabingtonite	has property	magnetic
most	synonym	majority
perthshire	at location	scotland
clackmannanshire	instance of	county
shiver	causes	heat body
absorbance	at location	surface
wire	kind of	electrical conductor
washington, district of columbia	instance of	federal district
leave alone	antonym	change
beijing municipality	synonym	beijing
burn natural gas	result	heat
result	synonym	evidence
burn wood	result	heat
flow	agent	colorado river
affect	agent	radiation
object	has property	close
atom	kind of	object
high-quality	synonym	positive
plant species	kind of	plant
temperature	causes	air pressure
food	kind of	chemical energy
railroad tracks	derivational morphology	railroad track
erosion	kind of	change
animal become oil	instrument	bury animal
chad	at location	southern hemisphere
northern summer	has subcomponent	june
heat energy	has property	medium
help entity	has positive impact on	entity
find	agent	animal
atmosphere	has subcomponent	solid
mongolia	at location	northern hemisphere
microscope	kind of	tool
lava	at location	ground
material	has property	neutral
phase change	result	new state
circuit	has subcomponent	wire
contact	patient	object
control	patient	animal
stove	has subcomponent	burner
bacteria	has property	microscopic
see	instrument	eye
fur	causes	warm
aquatic animal	has subcomponent	fin
animal	at location	underground
hear	agent	animal
closed	derivational morphology	close
visibility decrease	result	not see
examine	patient	vehicle
desert	has property	high sunlight
iron	kind of	element
predate	has negative impact on	prey
plate tectonics	derivational morphology	plate tectonic
break down food	agent	digestive system
wood	has property	nonmagnetic
communicate	instrument	radio
light	antonym	dark
predator eat	patient	prey
pints	kind of	volume
taste	kind of	sense
animal	has property	arctic
tunnel	kind of	hole
sound energy	has property	intense
characteristic	has property	similar
cluck	agent	chicken
refract	agent	wave
pan	kind of	container
move	agent	toy
pesticide	at location	crop
pollution	has subcomponent	pollutant
candy	kind of	dessert
ring	derivational morphology	ringing
lizard	has property	lizard weight
race	at location	track
taller	synonym	greater size
kent	at location	england
move food	goal	stomach
saint martin (france)	at location	northern hemisphere
pyrrhotite	has property	magnetic
waves	derivational morphology	wave
glacier	has subcomponent	snow
leicestershire	at location	england
object	has property	structure
mix	kind of	activity
cardboard	has property	nonmagnetic
break down food	beneficiary	body
chemical	has property	basic
predator	kind of	animal
city	causes	light pollution
oxygen	at location	circulatory system
uzbekistan	at location	northern hemisphere
measure	patient	rainfall
amount	synonym	volume
oil	has property	nonrenewable
plastic	has property	nonrenewable
cool	agent	lava
form	kind of	change
exhale	result	carbon dioxide
tlaxcala	at location	mexico
soil	has property	loose
reproduce	synonym	have offspring
scratch	instrument	hard
macau	at location	people's republic of china
ferrous metals	derivational morphology	ferrous metal
lead	has property	nonmagnetic
be in	result	touch
move	patient	object
mayotte (france)	at location	southern hemisphere
musical instrument	causes	sound
move	patient	pedal
surface	has property	shiny
photosynthesize	instrument	sunlight
shake	derivational morphology	shaking
bacteria	causes	food poisoning
earthquake	causes	mountain
adult	kind of	animal
change environment	agent	human
flip	patient	switch
sussex	instance of	county
vehicle	causes	pollution
cut down tree	result	tree die
something	has property	amount
heat energy	has property	high
safety goggle	at location	eye
circuit	has property	open
distraction	derivational morphology	distract
iron nail	has subcomponent	iron
chocolate	kind of	solid
motion	kind of	action
force	causes	slow
colima	at location	mexico
birth	agent	monkey
eat	instrument	mouth
earth's surface	at location	earth
obtain information	instrument	sense
